Year,Month,Year.Month,Date,Recreation.Visitors,NonRecreation.Visitors,Concession.Lodging,Tent.Campers,RV.Campers,Concession.Camping,Backcountry.Campers,Misc.Campers,TotalOvernightStays
1979,January,1979-01,1979-01-01,24214,571,124,25,25,0,198,110,482
1979,February,1979-02,1979-02-01,15342,773,226,61,75,0,237,357,962
1979,March,1979-03,1979-03-01,40179,990,179,135,74,0,414,272,1074
1979,April,1979-04,1979-04-01,43153,5966,160,118,122,0,237,122,759
1979,May,1979-05,1979-05-01,65792,20116,456,777,589,0,1218,0,3040
1979,June,1979-06,1979-06-01,165991,27998,3622,1967,2399,0,4258,0,12246
1979,July,1979-07,1979-07-01,404398,86929,8021,11654,19654,0,10983,0,50312
1979,August,1979-08,1979-08-01,359403,87673,8682,8830,8701,0,12489,0,38702
1979,September,1979-09,1979-09-01,188076,134914,1236,3167,4369,0,4855,0,13627
1979,October,1979-10,1979-10-01,111263,84002,440,1233,1635,0,1196,0,4504
1979,November,1979-11,1979-11-01,50906,8231,259,100,175,0,393,0,927
1979,December,1979-12,1979-12-01,47986,6588,410,46,69,0,453,0,978
1980,January,1980-01,1980-01-01,34198,1313,144,42,23,0,271,0,480
1980,February,1980-02,1980-02-01,26338,421,229,19,15,0,269,0,534
1980,March,1980-03,1980-03-01,34718,958,239,51,50,0,304,0,644
1980,April,1980-04,1980-04-01,47582,5629,285,152,112,0,508,0,1057
1980,May,1980-05,1980-05-01,59060,20148,303,734,802,0,1046,0,2885
1980,June,1980-06,1980-06-01,168866,44893,2442,2494,1967,0,3014,0,9917
1980,July,1980-07,1980-07-01,269787,198114,6816,12987,8721,0,8235,2,36761
1980,August,1980-08,1980-08-01,269983,197457,7932,12330,8658,0,11021,2,40111
1980,September,1980-09,1980-09-01,150218,95851,838,3990,4719,0,2478,2,12195
1980,October,1980-10,1980-10-01,119194,101215,761,1064,1535,0,772,0,4132
1980,November,1980-11,1980-11-01,63496,65868,304,169,260,0,249,0,982
1980,December,1980-12,1980-12-01,24816,879,372,52,80,0,279,0,783
1981,January,1981-01,1981-01-01,29479,711,271,272,226,0,849,0,1618
1981,February,1981-02,1981-02-01,27530,738,259,400,226,0,738,279,1902
1981,March,1981-03,1981-03-01,40542,3412,193,193,281,0,777,30,1475
1981,April,1981-04,1981-04-01,40970,21766,225,341,529,0,392,38,1525
1981,May,1981-05,1981-05-01,77163,70821,645,3384,2502,0,1172,140,7843
1981,June,1981-06,1981-06-01,191009,130489,3092,3864,4932,0,2723,76,15203
1981,July,1981-07,1981-07-01,241503,117300,8468,17924,14079,0,10073,263,51027
1981,August,1981-08,1981-08-01,300725,156252,9114,19522,16184,0,13182,307,58639
1981,September,1981-09,1981-09-01,135510,133974,3485,5655,4068,0,4164,58,17457
1981,October,1981-10,1981-10-01,65991,66289,466,683,898,0,557,0,2604
1981,November,1981-11,1981-11-01,61926,29373,257,559,483,0,518,0,1817
1981,December,1981-12,1981-12-01,21323,50,486,99,77,0,518,0,1180
1982,January,1982-01,1982-01-01,20471,379,240,59,67,0,116,0,482
1982,February,1982-02,1982-02-01,19420,527,241,35,109,0,517,250,1152
1982,March,1982-03,1982-03-01,25175,582,212,95,147,0,635,50,1139
1982,April,1982-04,1982-04-01,27525,1095,247,166,145,0,475,0,1033
1982,May,1982-05,1982-05-01,65697,33971,380,1855,1357,0,1935,36,5563
1982,June,1982-06,1982-06-01,118271,53476,4381,5491,3839,0,2625,169,16505
1982,July,1982-07,1982-07-01,231800,122523,8142,17446,14727,0,9457,334,50106
1982,August,1982-08,1982-08-01,244031,122906,9033,17889,15931,0,12005,824,55706
1982,September,1982-09,1982-09-01,117786,107143,5991,5756,6387,0,4396,0,22530
1982,October,1982-10,1982-10-01,63247,57800,920,615,548,0,549,0,2632
1982,November,1982-11,1982-11-01,42061,27518,321,143,287,0,165,0,916
1982,December,1982-12,1982-12-01,31816,794,452,176,175,0,328,0,1131
1983,January,1983-01,1983-01-01,32603,729,308,140,179,0,959,0,1586
1983,February,1983-02,1983-02-01,34451,659,316,143,158,0,971,0,1588
1983,March,1983-03,1983-03-01,39885,609,368,267,232,0,693,0,1560
1983,April,1983-04,1983-04-01,44594,13237,368,601,346,0,673,0,1988
1983,May,1983-05,1983-05-01,85755,47699,971,2920,2283,0,2340,0,8514
1983,June,1983-06,1983-06-01,113093,52144,4866,4697,3456,0,2506,0,15725
1983,July,1983-07,1983-07-01,239161,105616,8227,11957,11274,0,6191,0,37673
1983,August,1983-08,1983-08-01,223992,107104,9025,18274,17031,0,10350,0,54680
1983,September,1983-09,1983-09-01,123286,67284,5683,4340,5377,0,3869,0,19369
1983,October,1983-10,1983-10-01,93783,54446,968,760,1084,0,709,60,3591
1983,November,1983-11,1983-11-01,49747,25365,329,178,173,0,218,75,973
1983,December,1983-12,1983-12-01,25956,789,465,52,108,0,157,0,782
1984,January,1984-01,1984-01-01,29568,776,345,165,107,0,375,0,992
1984,February,1984-02,1984-02-01,29455,774,451,185,118,0,272,0,1026
1984,March,1984-03,1984-03-01,32423,933,463,256,271,0,526,0,1516
1984,April,1984-04,1984-04-01,36880,8034,352,304,273,0,389,0,1326
1984,May,1984-05,1984-05-01,65967,30140,432,1493,1342,0,1068,0,4355
1984,June,1984-06,1984-06-01,142835,66694,4333,5365,4360,0,3076,0,17234
1984,July,1984-07,1984-07-01,268233,130195,8360,17525,14116,0,6021,18,46140
1984,August,1984-08,1984-08-01,269147,121860,9288,20109,17068,0,9437,15,56017
1984,September,1984-09,1984-09-01,146875,114977,3445,4007,3959,0,3983,0,15494
1984,October,1984-10,1984-10-01,71738,37617,1156,795,1044,0,627,0,3622
1984,November,1984-11,1984-11-01,31465,4037,356,117,158,0,196,0,831
1984,December,1984-12,1984-12-01,27825,745,492,212,99,0,173,0,976
1985,January,1985-01,1985-01-01,29863,735,492,168,126,0,303,0,1089
1985,February,1985-02,1985-02-01,27279,858,451,156,52,0,253,0,912
1985,March,1985-03,1985-03-01,34371,1266,485,140,148,0,296,0,1069
1985,April,1985-04,1985-04-01,32428,5661,287,156,184,0,221,0,848
1985,May,1985-05,1985-05-01,66944,23793,727,2033,1520,0,1213,20,5517
1985,June,1985-06,1985-06-01,157620,74428,5133,6135,5085,0,3800,0,20173
1985,July,1985-07,1985-07-01,257489,111312,8845,19851,16195,0,8119,100,53510
1985,August,1985-08,1985-08-01,281433,120903,9442,21773,16231,0,10416,100,58162
1985,September,1985-09,1985-09-01,148924,76365,6743,5499,4771,0,2909,100,20122
1985,October,1985-10,1985-10-01,75254,43705,1320,601,994,0,398,0,3313
1985,November,1985-11,1985-11-01,31111,13698,285,85,118,0,187,0,675
1985,December,1985-12,1985-12-01,22924,473,517,144,140,0,979,0,1780
1986,January,1986-01,1986-01-01,26966,662,475,212,126,0,201,0,1014
1986,February,1986-02,1986-02-01,23613,725,376,196,117,0,283,0,972
1986,March,1986-03,1986-03-01,31534,916,413,256,182,0,446,0,1307
1986,April,1986-04,1986-04-01,32756,7881,281,216,186,0,225,0,908
1986,May,1986-05,1986-05-01,78522,26601,717,2273,1483,0,1029,0,5507
1986,June,1986-06,1986-06-01,151664,75870,5765,7110,5534,0,5275,0,23704
1986,July,1986-07,1986-07-01,250629,120079,9183,15282,10854,0,5992,0,41436
