DATE,DX32,DT90,DT00,DT32,DP10,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
19790101,25,0,1,31,1,1.47,10,7.66,68.9,39,-9.9,27.3,13.8,20.7
19790201,23,0,0,28,6,5.1,17,22.38,187.9,36,7,28.2,17.2,22.8
19790301,7,0,0,26,3,1.8,17,8.04,32.2,55,10,39.4,25,32.2
19790401,10,0,0,24,4,2,17,10.13,98.3,60.1,17.1,39.7,25.7,32.7
19790501,0,0,0,17,0,0.81,14,3.72,18.8,64.9,24.1,49.1,33.1,41.4
19790601,0,0,0,11,0,0.35,9,1.99,3.8,68,25,54.9,37.6,46.2
19790701,0,0,0,3,2,1.61,2,4.14,10.7,81,28,60.1,43.7,51.8
19790801,0,0,0,0,2,1.25,0,4.41,0,71.1,37.9,60.3,43.7,52
19790901,0,0,0,2,1,1.65,0,4.98,0,77,30.9,60.3,41.5,50.9
19791001,3,0,0,14,3,2.28,2,10.93,45.9,73.9,24.1,50.4,36.5,43.3
19791101,9,0,0,24,1,1.28,4,6.32,47.2,55,16,38.8,27.7,33.3
19791201,10,0,0,29,8,4.47,7,25.96,97.2,45,10,35.4,24.8,30.2
19800101,19,0,5,29,8,2.45,14,17.87,170.1,48.9,-6,28.6,14.7,21.7
19800201,5,0,0,27,5,2.8,14,17.04,73,46,5,36.9,24.6,30.7
19800301,17,0,0,31,3,1.55,17,13.83,132,45,16,31.6,21.4,26.4
19800401,2,0,0,21,4,1.2,18,7.83,56.5,66,17.1,44.1,29.3,36.7
19800501,1,0,0,17,2,1.3,14,4.36,15.7,66,21.9,45.7,31.3,38.1
19800601,1,0,0,9,0,0.98,9,4.22,6.2,57.9,25,45.3,34.2,39.7
19800701,0,0,0,0,0,0.5,0,1.79,0,75.9,34,56.7,43.3,49.8
19800801,0,0,0,2,2,1.15,0,3.74,0,66.9,28.9,51.1,40.5,45.7
19800901,1,0,0,5,2,2.1,0,5.72,0,66,30,49.8,37.9,43.7
19801001,3,0,0,14,0,0.77,0,2.41,2.4,69.1,24.1,47.5,35.6,41.5
19801101,10,0,0,26,7,2.85,3,21.84,61.9,55,10.9,34.7,23.7,29.1
19801201,8,0,0,22,10,3.1,8,24.11,80,57.9,5,37.9,26.4,32.2
19810101,6,0,0,20,0,0.67,4,4.64,25.5,50,16,40.6,28.8,34.7
19810201,7,0,0,27,7,3.98,8,18.34,95,51.1,1.9,36,21.6,28.8
19810301,5,0,0,29,2,1.67,10,7.65,59,51.1,10.9,39.2,24.1,31.6
19810401,12,0,0,24,7,2.4,15,16.81,110.5,62.1,15.1,38.8,25,32
19810501,0,0,0,22,0,0.86,10,5.47,15.5,64.9,17.1,45.3,29.1,37.2
19810601,0,0,0,17,5,2.13,5,10.43,12.3,66.9,25,47.1,33.1,40.1
19810701,0,0,0,6,0,0.8,0,3.44,3.5,73.9,26.1,57.4,40.3,48.7
19810801,0,0,0,0,0,0.4,0,0.74,0,82.9,35.1,66.6,49.6,58.1
19810901,0,0,0,9,3,2.6,1,7.22,8.1,82,21.9,55.9,40.3,48
19811001,1,0,0,18,5,2.25,1,11.92,21.6,62.1,19,44.2,30.4,37.4
19811101,10,0,0,21,4,1.81,4,10.8,75.1,64,17.1,38.8,28,33.4
19811201,21,0,0,31,13,2.6,12,25.67,183.3,43,9,30.2,18.3,24.3
19820101,22,0,1,29,8,6.22,18,23.65,162.8,37,-0.9,26.6,15.1,20.8
19820201,17,0,0,25,4,2.17,20,11.16,102.5,39.9,1.9,29.3,15.1,22.1
19820301,12,0,0,31,3,1.57,22,9.48,82.5,48.9,12,34.5,20.7,27.5
19820401,13,0,0,28,3,1.23,26,11.11,106,59,12.9,36.7,22.3,29.5
19820501,1,0,0,22,0,0.32,21,1.8,11,69.1,19,46.2,29.7,37.8
19820601,0,0,0,6,0,0.41,16,1.32,1.5,73,25,57.6,41,49.3
19820701,0,0,0,4,0,0.68,4,2.75,0,80.1,30,59,41.5,49.8
19820801,0,0,0,2,0,0.44,0,1.38,0,80.1,30.9,60.3,43,51.6
19820901,0,0,0,7,2,1.55,0,6.68,1.3,75.9,25,54.3,38.5,46.4
19821001,3,0,0,17,3,2.75,2,13.12,48.9,66.9,18,44.6,32,38.3
19821101,15,0,0,29,4,1.62,42,12.72,130.4,46,12,34,22.1,28
19821201,20,0,1,31,7,2.2,11,15.27,115.5,44.1,-0.9,32.2,18.1,25.2
19830101,11,0,0,30,8,3.33,14,21.45,111,51.1,14,35.8,24.3,30
19830201,12,0,0,28,5,1.34,17,14.19,106,46.9,18,34.2,23,28.6
19830301,3,0,0,29,3,2.1,18,13.22,92.7,43,18,37,25.5,31.3
19830401,5,0,0,21,0,0.88,19,4.03,41.4,57.9,15.1,41.9,27.1,34.5
19830501,0,0,0,18,2,1.52,17,6.59,42.6,75.9,18,50.4,34,42.3
19830601,0,0,0,11,2,1.1,11,5.69,9.3,66,28.9,48.6,35.2,41.9
19830701,0,0,0,4,2,1.88,5,7.12,0,79,30.9,53.8,40.6,47.3
19830801,0,0,0,0,0,0.55,0,1.26,0,77,39,61.7,45,53.2
19830901,0,0,0,11,0,0.96,0,4.24,4,66.9,25,50.2,35.1,42.6
19831001,0,0,0,16,2,1.1,0,4.17,1.3,63,24.1,46.9,33.3,40.1
19831101,14,0,0,30,13,3.2,9,32.28,177.5,45,3.9,33.3,21.7,27.5
19831201,24,0,6,31,5,2.13,12,15.44,119.4,37,-17,24.8,10.4,17.6
19840101,15,0,0,25,8,5.63,12,21.25,65,51.1,5,34.9,23.5,29.3
19840201,12,0,0,26,4,1.6,16,11.86,98.5,54,1.9,36.3,22.6,29.5
19840301,8,0,0,27,4,1.58,17,12.94,92.5,53.1,17.1,37.9,25.2,31.6
19840401,9,0,0,29,2,1.45,21,7.46,105.6,57.9,15.1,37.6,23,30.2
19840501,0,0,0,26,4,1.47,20,11.78,55,70,18,41.7,26.8,34.3
19840601,0,0,0,19,0,0.88,17,5.04,9.1,66.9,21.9,48.4,33.3,40.8
19840701,0,0,0,2,0,0,10,0,0,75.9,30.9,61.3,42.6,51.8
19840801,0,0,0,3,0,0.1,0,0.28,0,75.9,28.9,60.6,41.4,51.1
19840901,0,0,0,12,1,1.5,1,3.3,7,68,12,50.7,34.9,42.8
19841001,9,0,0,22,5,1.8,3,11.81,65,63,10.9,40.1,27.7,33.8
19841101,12,0,0,30,9,2.61,11,20.97,156,54,7,33.8,22.1,27.9
19841201,23,0,1,30,6,2.3,16,16.19,151.5,44.1,-13,28.6,15.6,22.1
19850101,6,0,0,25,0,0.71,15,1.21,9.2,53.1,9,39.6,27,33.3
19850201,22,0,0,28,5,1.73,17,13.08,125.6,45,1,28.6,17.8,23
19850301,15,0,0,28,4,2.49,20,11.92,124.5,55.9,12,35.4,21.2,28.4
19850401,6,0,0,23,1,1.48,19,7.99,50.2,63,12,41.7,26.6,34.2
19850501,0,0,0,19,0,0.52,17,2.51,12.5,68,15.1,49.3,30.6,39.9
19850601,0,0,0,10,1,2.7,11,5.44,0,77,25,55.2,36,45.5
19850701,0,0,0,0,0,0.11,2,0.11,0,79,37.9,69.3,49.3,59.2
19850801,0,0,0,1,0,0.9,0,2.09,0,72,32,59.7,41.2,50.4
19850901,0,0,0,10,2,1.45,0,6.33,0.5,64.9,26.1,50,34.9,42.4
19851001,7,0,0,25,2,1.17,1,11.31,43.5,60.1,15.1,41.4,26.6,34
19851101,21,0,4,30,5,1.87,7,15.77,119.1,43,-2.9,26.4,12.4,19.4
19851201,8,0,2,19,2,1.88,8,5.47,42.5,60.1,-7.1,40.3,27.1,33.6
19860101,9,0,0,29,7,2.17,10,16.63,103.1,55.9,12,38.7,23.4,30.9
19860201,12,0,0,25,5,2.6,14,15.64,88.5,55.9,3,33.3,18.5,25.9
19860301,3,0,0,25,3,1.36,13,9.81,60.1,57,16,41.7,26.1,33.8
19860401,7,0,0,29,2,1.22,15,8.31,85.6,61,10,38.7,21.4,30
19860501,1,0,0,20,1,1.06,14,5.76,44.5,82.9,14,48,31.5,39.7
19860601,0,0,0,2,0,0.46,9,1.6,1,84.9,28.9,61.2,41.5,51.4
19860701,0,0,0,6,0,0.95,1,1.66,0,72,30,56.3,38.7,47.5
19860801,0,0,0,0,0,0.3,0,0.67,0,82.9,39.9,70.9,50.7,60.8
19860901,0,0,0,12,2,2.47,1,8.96,8.8,72,28,50,35.8,43
19861001,0,0,0,5,3,2.65,0,8.28,3.8,68,30.9,53.6,40.3,46.9
19861101,14,0,0,26,10,5.49,7,25.8,123.1,61,12,36.3,25,30.6
19861201,11,0,0,30,4,1.61,8,10.39,74,50,1.9,36.1,25,30.6
19870101,16,0,0,28,2,1.5,12,12.33,118.9,46,8.1,33.4,22.5,27.9
19870201,14,0,0,23,2,1.7,14,7.99,75.6,55,12.9,36,24.1,30
19870301,9,0,0,27,3,1.53,16,11.32,95.5,57,16,37,24.4,30.7
19870401,4,0,0,19,2,1.14,15,7.06,38.6,78.1,14,46.9,29.8,38.3
19870501,0,0,0,18,2,1.38,13,7.07,17.5,73.9,10,50.5,32.5,41.5
19870601,0,0,0,10,0,0.59,7,1.41,6.5,78.1,26.1,59.9,39.4,49.6
19870701,0,0,0,2,0,0.61,0,2.7,0,77,30.9,59.5,40.8,50.2
19870801,0,0,0,1,0,0.65,0,1.49,0,82.9,32,63.3,44.1,53.8
19870901,0,0,0,6,1,1.37,0,2.39,2,89.1,28,63.7,43.2,53.4
19871001,0,0,0,7,0,0.2,0,0.25,0,75.9,21,57.7,38.5,48.4
19871101,6,0,0,21,6,1.48,4,11.61,60,57.9,14,39,28.2,33.6
19880101,19,0,1,30,5,2.12,11,12.61,100.6,50,-5.1,32,18.3,25.2
19880201,13,0,0,24,4,1.6,13,11.15,71,59,3.9,38.5,24.3,31.3
19880301,11,0,0,28,7,2.16,19,16.96,143,55.9,12,36,22.5,29.1
19880401,5,0,0,22,4,1.49,19,10.78,84.1,64,10.9,44.1,27.3,35.8
19880501,3,0,0,22,1,1.34,17,8.24,40,73,19,47.7,30.4,39
19880601,0,0,0,14,0,0.9,12,2.94,4.5,75.9,28,54,36.9,45.5
19880701,0,0,0,3,0,0.67,3,1.22,0,82.9,30.9,63.3,44.1,53.6
19880801,0,0,0,2,0,0.5,0,1.02,0,84,30,62.8,41.4,52.2
19880901,0,0,0,15,1,1.73,0,5,1.5,89.1,27,57.4,37.9,47.7
19881001,0,0,0,9,4,3.55,0,10.63,0,75,25,57.7,39.9,48.9
19881101,19,0,0,29,11,2.82,8,26.95,189,55,10,32.7,19.6,26.1
19881201,13,0,1,27,3,3.58,11,11.99,99.5,53.1,-6,35.4,20.3,27.9
19890101,18,0,1,31,11,3.2,16,21.54,166.4,52,-5.1,32.2,15.6,23.9
19890201,19,0,4,27,2,2.05,17,7.26,75,37.9,-18,25.5,12.7,19
19890301,11,0,0,31,4,1.22,20,16.45,143,46,3.9,33.1,21.2,27.1
19890401,4,0,0,16,3,1.5,22,6.83,44.5,64,17.1,45.9,30.9,38.5
19890501,1,0,0,22,1,1.08,14,4.58,30.5,62.1,21,46,30.4,38.1
19890601,0,0,0,8,1,1.18,11,2.03,7.3,73.9,28,57.6,38.3,48
19890701,0,0,0,4,0,0.75,4,2.22,0,73,32,58.1,39.4,48.7
19890801,0,0,0,0,0,0.75,0,2.09,0,77,34,57.2,42.8,50
19890901,0,0,0,1,0,0.28,0,0.81,0,75.9,30.9,60.4,43,51.8
19891001,3,0,0,17,2,1.33,1,7.31,17.3,64,23,45.7,32.2,38.8
19891101,9,0,0,27,7,3.52,4,19.41,84,55,12,39,25.9,32.5
19891201,6,0,0,23,4,3,3,9.29,13,57.9,14,40.3,27,33.6
19900101,12,0,0,25,10,3.14,10,21.95,128.6,42.1,12,32.9,21,27
19900201,15,0,1,22,7,2.6,20,13.98,231.5,51.1,-2,32,18.3,25.2
19900301,7,0,0,29,1,1.5,19,7.54,66,52,10.9,40.3,24.8,32.5
19900401,3,0,0,19,5,2.57,16,11.13,67,64,18,46.8,29.3,37.9
19900501,0,0,0,22,1,1.11,15,7.07,27.4,72,17.1,46.6,29.1,37.9
19900601,0,0,0,12,1,1.08,12,6.82,16,75,25,53.8,33.8,43.7
19900701,0,1,0,2,0,0.73,6,2.12,0,91.9,28,66.7,42.1,54.5
19900801,0,0,0,5,2,1.35,0,4.89,0,82.9,28,64,42.6,53.2
19900901,0,0,0,1,0,0.5,0,0.78,0,75.9,32,63.1,40.5,51.8
19901001,7,0,0,28,6,3.05,1,17.81,36.9,71.1,15.1,41.4,25.9,33.6
19901101,11,0,0,27,11,5.72,6,32.37,94.1,55.9,8.1,35.8,23.7,29.8
19901201,24,0,6,31,6,2.59,10,16.7,123,41,-14.1,25,13.1,19
19910101,17,0,0,31,7,2.5,14,16.78,98,44.1,12,32.2,22.1,27.1
19910201,3,0,0,17,7,3.5,13,15.49,41.5,52,19,41.9,30,36
19910301,17,0,0,30,5,2.08,17,15.13,147.6,52,12,34,20.7,27.3
19910401,7,0,0,27,5,3.63,22,14.73,146,57.9,16,39.6,25.3,32.5
19910501,1,0,0,26,1,1.55,18,5.44,27,55.9,19.9,44.4,29.3,36.9
19910601,0,0,0,14,0,0.84,15,3.92,10.1,66,23,48.4,32.9,40.6
19910701,0,0,0,0,0,0.5,10,0.91,0,79,34,62.6,41.5,52
19910801,0,0,0,1,0,0.95,0,2.74,0,80.1,30,64.8,45.5,55.2
19910901,0,0,0,3,0,0.7,0,0.79,0,77,28,62.1,44.1,53.1
19911001,7,0,0,14,1,1.47,3,5.28,50.6,79,14,49.6,32.7,41.2
19911101,12,0,0,25,9,3.55,7,26.77,109,50,12.9,35.8,25.5,30.6
19911201,10,0,0,30,6,2.4,9,18.59,95.7,45,12,35.6,24.6,30
19920101,13,0,0,30,7,3.25,14,18.81,116.5,50,15.1,35.4,24.6,30
19920201,5,0,0,25,2,1.8,15,9,62,57.9,19.9,40.3,28,34.2
19920301,1,0,0,23,0,0.76,13,2.81,12,57,19,45.7,30.9,38.3
19920401,4,0,0,22,3,1.8,13,10.76,50,66,15.1,43.3,28.4,35.8
19920501,1,0,0,14,0,0.66,10,0.83,3.5,77,18,57.2,35.6,46.9
19920601,0,0,0,5,0,0.63,3,1.87,0,82,30,62.1,41.7,51.8
19920701,0,0,0,0,1,1,0,3.36,0,82,34,59.9,43.2,51.4
19920801,0,0,0,2,0,0.8,0,1.43,0,82.9,30.9,66.2,45,55.6
19920901,0,0,0,14,3,2.4,0,7.98,1,73.9,24.1,54.3,35.4,44.8
19921001,1,0,0,16,1,1.33,1,5.68,10,70,16,48.4,32.7,40.6
19921101,15,0,0,27,10,3.19,7,20.24,119,55,15.1,35.8,23.7,29.7
19921201,27,0,0,31,6,2.48,12,16.84,151.5,41,8.1,27.7,16.2,21.9
19930101,23,0,0,30,4,3.8,13,12.38,84.4,50,1.9,27.3,15.3,21.4
19930201,14,0,2,27,0,0.31,12,1.42,21.5,46.9,-0.9,31.5,18.5,25
19930301,5,0,0,30,2,2.6,13,11.44,51,54,16,39,24.1,31.5
19930401,6,0,0,30,3,1.52,15,12.41,89.1,46,16,36.1,23.9,30
19930501,1,0,0,13,0,0.71,15,5.34,9.5,73,21,54,35.1,44.4
19930601,0,0,0,16,0,0.88,6,5.95,13,70,21,48.9,32.7,40.8
19930701,0,0,0,9,0,0.95,0,3.83,0,66.9,30,49.3,34.3,41.9
19930801,0,0,0,3,0,0.4,0,1.54,0,78.1,26.1,60.3,39.9,50
19930901,0,0,0,9,0,0,0,0,0,82.9,23,62.4,40.8,51.6
19931001,0,0,0,15,1,1.33,0,4.49,0,72,23,50.9,34,42.4
19931101,16,0,0,30,2,1.29,3,6.59,48.9,48.9,1,34.2,20.3,27.1
19931201,8,0,0,29,5,3.82,7,14.5,83.6,53.1,9,35.6,22.8,29.1
19940101,11,0,0,27,4,2.36,10,14.35,89.5,53.1,18,36,25.5,30.7
19940201,16,0,0,27,5,4,17,15.85,170.1,43,1,30.6,20.5,25.5
19940301,10,0,0,21,5,2.2,18,12.17,103.1,62.1,10.9,41,27.3,34.2
19940501,0,0,0,16,1,1.18,13,4.1,11.1,70,24.1,49.5,33.8,41.7
19940701,0,0,0,2,0,0.82,2,1.18,0,84.9,32,65.8,44.6,55.2
19940801,0,0,0,0,0,0.5,0,0.61,0,75.9,35.1,61.3,40.8,51.1
19940901,0,0,0,2,4,1.6,0,5.84,0,73.9,30.9,61.5,42.4,52
19941001,4,0,0,21,5,3.18,3,14,59.1,62.1,18,44.2,29.1,36.7
19941101,24,0,0,30,11,4.16,12,22.85,214.6,37.9,6.1,28.2,17.8,23
19941201,18,0,0,31,8,3.7,14,25.61,129.6,48.9,6.1,30.9,19.9,25.5
19950101,10,0,0,29,4,2.47,17,14,72.1,46.9,17.1,34.5,25.3,29.8
19950201,5,0,1,22,5,3.75,17,13.35,60,57.9,0,39.2,25.7,32.5
19950301,10,0,0,29,5,1.87,18,13.54,102.6,64.9,12,36.5,24.1,30.4
19950401,7,0,0,27,1,1.08,20,7.32,75,64,18,39.7,26.1,32.9
19950501,0,0,0,14,0,0.87,17,4.15,10.5,70,21,50.9,35.1,43
19950601,-9999,-9999,-9999,-9999,0,0.95,10,5.53,8,-9999,-9999,-9999,-9999,-9999
19950701,0,0,0,1,0,0.72,2,2.26,0,80.1,32,59.9,41,50.4
19950801,0,0,0,2,2,1.2,0,3.43,0,71.1,30,56.5,38.3,47.3
19950901,0,0,0,0,3,1.44,0,4.89,0,77,34,60.3,44.1,52.2
19951001,5,0,0,23,6,2.4,0,13.81,16.2,62.1,21,40.5,29.5,34.9
19951101,4,0,0,17,11,6.53,3,32.88,38.5,53.1,18,40.1,27.7,34
19951201,12,0,0,29,9,2.54,7,18,113.2,51.1,10,34.3,23.7,28.9
19960201,13,0,0,23,7,7.43,14,25.35,91.7,60.1,1.9,35.4,23.5,29.5
19960301,8,0,0,28,1,1.22,14,7.21,61.1,55.9,14,36.9,24.6,30.7
19960401,7,0,0,22,4,2.48,15,13.86,97.4,62.1,18,40.1,28.4,34.3
19960501,5,0,0,21,1,1.07,14,5.31,23,60.1,19,42.1,27.7,34.9
19960601,0,0,0,7,0,0.35,12,0.69,2,69.1,14,54.3,30.7,42.4
19960701,0,0,0,4,2,1.08,0,3.84,0,84.9,24.1,68,44.1,56.1
19960801,0,0,0,3,0,0.6,0,1.08,0,87.1,21.9,67.5,41.9,54.5
19960901,0,0,0,14,3,1.55,0,5.83,2,75,24.1,52.3,35.1,43.7
19961001,6,0,0,17,4,2.12,3,9.7,52,73.9,15.1,44.1,31.3,37.8
19961201,19,0,0,28,12,3.5,17,28.23,267.8,41,5,29.7,17.2,23.5
19970101,16,0,0,28,9,2.97,18,22.29,123.9,43,10.9,32.2,22.6,27.3
19970201,12,0,0,26,5,2.08,21,9.02,68.5,48.9,14,34.3,22.8,28.6
19970301,17,0,0,29,8,5.56,27,24.26,162.5,52,15.1,33.1,20.7,26.8
19970401,6,0,0,27,2,1.61,25,9.61,68.5,55,12,37.9,25,31.5
19970501,1,0,0,13,1,1.08,24,2.86,16.5,70,21,51.8,35.2,43.5
19970601,0,0,0,9,0,0.82,17,2.22,0,64.9,19,50.5,33.8,42.3
19970801,0,0,0,0,0,0.6,1,1.88,0,78.1,39.9,66.2,47.3,56.8
19970901,0,0,0,0,5,2.7,0,10.13,0,73.9,33.1,57.6,42.3,49.8
19971001,1,0,0,22,5,3.1,1,13.4,5.9,63,15.1,43,30.9,36.9
19971101,4,0,0,24,4,2.1,6,12.86,103,55.9,12,38.7,28.9,33.8
19971201,11,0,0,28,5,2.4,9,15.07,114.6,54,14,35.1,23.9,29.5
19980101,20,0,0,28,6,2.08,16,17.64,198.5,41,5,30.4,21.9,26.1
19980201,15,0,0,28,3,1.58,18,10.35,102,42.1,12,32.5,23.5,28
19980301,11,0,0,28,3,1.18,19,9.9,79.9,53.1,12.9,36,24.6,30.2
19980401,3,0,0,23,0,0.52,17,2.95,24.4,69.1,12,41.9,27.9,34.9
19980501,1,0,0,15,1,1.02,14,4.85,27,69.1,21,45.1,32.2,38.7
19980601,0,0,0,3,1,1,11,3.13,5.1,66.9,28.9,52.3,38.5,45.3
19980701,0,0,0,0,0,0.35,4,0.77,0,84.9,37.9,67.5,48.9,58.1
19980801,0,0,0,1,0,0.7,0,1.32,0,84.9,30.9,64.9,46.4,55.8
19980901,0,0,0,0,0,0.53,0,1.4,0,82,33.1,62.8,44.2,53.6
19981001,1,0,0,19,4,1.7,1,9.71,25,66,21,46.4,32.2,39.4
19981101,16,0,0,30,10,2.98,7,24.66,147.9,43,12,33.1,24.6,28.9
19981201,20,0,2,31,11,3.9,14,31.42,191.9,42.1,-8,29.1,18,23.5
19990101,19,0,0,31,11,2.75,20,21.94,175.6,43,12,32.4,22.3,27.3
19990201,20,0,0,23,5,2.37,27,14.54,178.5,37.9,1.9,28.9,17.6,23.2
19990301,19,0,0,29,6,1.7,29,13.61,138.5,55.9,12,32.5,20.7,26.6
19990401,6,0,0,24,0,0.58,28,3.81,44.5,64,15.1,39.9,24.1,32
19990501,9,0,0,24,0,0.83,27,4.38,54.6,69.1,17.1,42.1,26.8,34.5
19990601,2,0,0,11,0,0.59,21,1.96,6,72,21.9,49.6,29.3,39.4
19990701,0,0,0,7,0,0.25,15,0.68,2.5,75.9,15.1,60.8,39.9,50.4
19990801,0,0,0,2,0,0.1,5,0.47,0,78.1,28.9,64,45,54.5
19990901,0,0,0,8,0,0.11,0,0.37,0,75.9,23,59.2,41.2,50.2
19991001,0,0,0,15,1,2.1,1,4.43,13.3,64.9,21,47.5,31.6,39.6
19991101,4,0,0,20,8,5.8,3,21.41,74.5,59,19,41.5,27.5,34.5
19991201,14,0,0,27,11,3.4,11,26.33,160.6,63,8.1,38.8,25,31.8
20000101,24,0,0,31,9,2.75,16,21.99,209.5,41,12,29.5,18.5,24.1
20000201,14,0,0,28,1,1.96,18,8.98,71.1,46,14,34.3,23.4,28.8
20000301,14,0,0,31,6,1.27,21,12.84,112.9,48.9,12.9,33.4,21.9,27.7
20000401,3,0,0,19,1,3.3,19,6.81,36.6,61,12.9,46.9,28.2,37.4
20000501,2,0,0,20,1,1.55,17,6.36,33.5,55.9,21,44.6,29.3,37
20000601,0,0,0,9,1,1.8,12,3.93,3.5,75,27,55,36.5,45.7
20000701,0,0,0,7,0,0.46,6,0.74,0.5,78.1,21.9,61.5,38.3,50
20000801,0,0,0,3,0,0.17,0,0.41,0,73.9,21.9,62.1,39,50.5
20000901,0,0,0,10,2,2.95,0,6.74,0,73.9,26.1,54.5,35.8,45.1
20001001,1,0,0,18,2,1.49,1,5.8,8,64.9,19,46,30.4,38.1
20001101,14,0,0,22,2,2.2,4,6.53,22,54,12,34.7,23.7,29.1
20001201,15,0,0,27,3,2.02,8,10.72,70,55.9,10,34.9,23.7,29.3
20010101,15,0,0,30,2,2.05,9,9.48,78.1,50,14,33.6,23.2,28.4
20010201,17,0,0,28,2,2.46,11,7.32,70,48.9,8.1,32.9,19.2,26.1
20010301,14,0,0,26,3,1.6,11,10.29,73,57,10.9,36.3,23.4,29.8
20010401,14,0,0,26,3,1.83,13,10.3,96.5,62.1,14,36.3,22.8,29.7
20010501,2,0,0,14,2,2,15,6.66,37,80.1,17.1,54.7,32.7,43.5
20010601,0,0,0,16,3,1.57,8,8.1,21.5,71.1,25,51.3,32.9,42.1
20010701,0,0,0,3,0,0.6,2,1.63,0,75.9,32,60.1,40.5,50.4
20010801,0,0,0,0,1,1.4,0,2.74,0,80.1,37,67.3,46.6,57
20010901,0,0,0,2,1,1.03,0,2.49,0,73,30.9,58.5,43.5,50.9
20011001,2,0,0,20,7,2.87,2,17.22,39,70,18,44.4,31.6,37.6
20011101,11,0,0,21,7,3.5,6,17.7,88.8,55.9,18,37.9,28.4,33.1
20011201,22,0,0,31,12,3.31,14,25.61,205,41,12.9,30,20.5,25.2
20020101,19,0,0,28,9,4.1,19,22.15,130.1,45,10.9,29.7,20.7,25.2
20020201,14,0,0,27,3,1.82,20,10.83,82.5,45,14,32.4,21.6,27
20020301,21,0,0,31,6,4.75,24,18.11,177,46.9,9,31.3,19.9,25.5
20020401,8,0,0,24,2,1.54,22,8.22,54,57.9,18,37.2,26.4,31.8
20020501,4,0,0,19,0,0.71,21,4.53,26.5,60.1,17.1,43.2,29.8,36.5
20020601,0,0,0,7,1,2.2,15,4.41,2,75.9,21.9,55.9,39.7,47.8
20020701,0,0,0,3,0,0.6,7,1.05,0,81,32,62.2,45,53.6
20020801,0,0,0,1,0,0.35,0,0.92,0,75.9,32,60.1,43.2,51.6
20020901,0,0,0,2,0,0.45,0,1.49,0,73,28,57.9,42.4,50.2
20021001,3,0,0,12,1,1.07,0,2.41,2.5,62.1,17.1,46.6,34.2,40.5
20021101,2,0,0,16,3,2.45,2,10.01,33.1,63,19,44.1,33.6,38.8
20021201,15,0,0,26,6,2.7,7,17.9,138.6,52,15.1,34.9,25.5,30.2
20030101,3,0,0,22,9,5.19,8,22.06,56,57.9,21,41.4,30.4,35.8
20030201,9,0,0,23,4,2.8,11,11.59,77.5,53.1,6.1,37.6,25.2,31.5
20030301,12,0,0,29,9,3.21,17,21.47,153.5,52,15.1,34.5,24.6,29.5
20030501,0,0,0,14,1,1.19,15,4.03,29.6,73,18,49.6,32.7,41.2
20030601,0,0,0,2,0,0.47,11,1.37,1.8,82.9,30.9,59.9,42.3,51.1
20030701,0,0,0,0,0,0.09,2,0.19,0,80.1,33.1,63.1,42.8,53.1
20030801,-9999,-9999,-9999,-9999,0,0.21,0,0.21,0,-9999,-9999,-9999,-9999,-9999
20030901,0,0,0,0,1,1.18,0,2.21,1.8,75,53.1,74.7,57.4,66
20031001,1,0,0,13,8,2.7,1,16.78,22.8,70,12,49.3,36.3,42.8
20031101,17,0,0,28,8,3.07,7,21.71,136.4,48.9,12,31.6,21.4,26.6
20031201,20,0,0,30,4,1.71,12,14.31,145.9,51.1,10.9,31.3,22.6,27
20040101,10,0,1,26,3,1.56,16,12.19,102,44.1,-2,32.7,23.5,28.2
